time,torque,temptop,tempmid,tempbot,fic,icangle,balance,mass,dm,alpha,torquenorm,alpha100
610.7249999999999,31.768693165062647,2607.251028806584,2646.604938271605,2553.7654320987654,-17.08740534979424,-736007962.1416581,10660.633744855968,18826.633744855968,-0.27530864197530713,0.8285391948766612,0.8737237294813006,82.85391948766612
605.8900000000001,31.73767989342287,2612.3970893970895,2649.0498960498962,2557.4823284823283,-17.080783783783783,-735978223.5701392,10793.83575883576,18959.835758835758,-0.27717255717255657,0.8295360465857183,0.8728707818570552,82.95360465857183
600.9549999999999,31.8030703459229,2612.320158102767,2649.4308300395255,2560.98814229249,-17.082523715415014,-735947879.7166927,10928.642292490118,19094.64229249012,-0.267588932806327,0.8305461322001431,0.8746691935743376,83.0546132200143
596.0100000000001,31.764210588413224,2612.0062111801244,2650.383022774327,2561.0248447204967,-17.077935817805372,-735917479.0291429,11062.302277432713,19228.30227743271,-0.2700207039337438,0.831548839267407,0.873600446676828,83.1548839267407
590.975,31.72014247750342,2613.7137404580153,2651.9274809160306,2564.5114503816794,-17.085326335877863,-735886509.497619,11194.832061068702,19360.8320610687,-0.2629198473282451,0.8325442622980378,0.8723884561799179,83.25442622980378
585.945,31.730290367259055,2620.6431535269708,2655.2033195020745,2569.298755186722,-17.081014522821594,-735855573.443809,11332.815352697095,19498.815352697096,-0.2732987551867211,0.8335819095050698,0.8726675501935618,83.35819095050698
581.0950000000001,31.74033337501935,2626.217213114754,2661.0819672131147,2569.8934426229507,-17.080309426229512,-735825755.6253786,11462.797131147541,19628.79713114754,-0.2680532786885273,0.8345605690210947,0.8729437596728106,83.45605690210947
576.1650000000001,31.662721055987397,2626.4939759036147,2667.389558232932,2569.0963855421687,-17.0808232931727,-735795443.2530428,11594.508032128513,19760.508032128513,-0.25973895582329026,0.8355534213226041,0.8708092140531353,83.5553421322604
571.0699999999999,31.664978337210542,2627.671785028791,2675.4529750479846,2572.915547024952,-17.078502879078705,-735764110.8847637,11726.769673704415,19892.769673704413,-0.25936660268714207,0.8365516168989479,0.8708712953027016,83.65516168989478
565.9649999999999,31.68364077104668,2628.916,2678.328,2575.02,-17.076966000000002,-735732724.2256099,11860.382,20026.382,-0.26109999999999856,0.8375612101228703,0.8713845619708578,83.75612101228704
560.8349999999999,31.63044111624101,2635.6425855513307,2677.467680608365,2578.361216730038,-17.081598859315584,-735701184.8558193,11988.731939163497,20154.7319391635,-0.25515209125475813,0.8385321871166611,0.8699214296801331,83.85321871166612
555.705,31.588652415463567,2640.36,2681.36,2585.496,-17.07864199999999,-735669644.5596299,12122.588,20288.588,-0.2603399999999965,0.8395460228634122,0.8687721290367689,83.95460228634121
550.685,31.58689482984957,2645.003968253968,2691.7738095238096,2589.031746031746,-17.081047619047595,-735638770.9209157,12254.57142857143,20420.571428571428,-0.26263888888888687,0.8405468735007702,0.8687237907482039,84.05468735007702
545.7,31.59765348754994,2645.3853955375253,2688.5091277890465,2594.042596348884,-17.086866125760647,-735608113.4155453,12385.354969574037,20551.354969574037,-0.25649087221095485,0.8415397977367566,0.8690196825080991,84.15397977367566
540.4849999999999,31.57735431241896,2645.5272727272727,2686.1563636363635,2595.4727272727273,-17.08005454545454,-735576045.6168711,12516.381818181819,20682.381818181817,-0.24869090909090696,0.8425357582663697,0.8684614010922196,84.25357582663698
535.165,31.57321486820381,2645.3891050583657,2689.719844357977,2595.7003891050585,-17.07684435797666,-735543337.5740864,12648.536964980545,20814.536964980543,-0.25190661478599846,0.8435414737372172,0.8683475553441792,84.35414737372172
530.0450000000001,31.593106246109304,2648.4117647058824,2690.176470588235,2599.321568627451,-17.08725490196077,-735511847.1431726,12779.223529411765,20945.223529411764,-0.25662745098038703,0.84453720017107,0.8688946212495285,84.453720017107
